,Bid_ID,Field_ID,Flood Start,Flood End,Source,2023-08-06,2023-08-13,2023-08-20,2023-08-27,2023-09-03,2023-09-10,2023-09-17,2023-09-24,2023-10-01,2023-10-08
0,23-FDW-347,8_Pond,2023-08-18,2023-09-30,Sentinel 2,0.0,0.0006048917955323404,0.0,0.18351122858699384,0.25211355703072985,0.280412017513771,0.3954094729502813,0.4789451383144005,0.5731959941620763,0.6278794482220564
1,23-FDW-347,Brood_Pond,2023-08-18,2023-09-30,Sentinel 2,0.0,0.0013593697287213981,0.0,0.14514407684098185,0.153081643543223,0.2007070437566702,0.25379758093205257,0.2819370330843116,0.33739327641408745,0.3669423692636072
2,23-FDW-347,East_Brood,2023-08-18,2023-09-30,Sentinel 2,0.0,0.0,0.0,0.05084340232085177,0.09151812417753319,0.10677114487378872,0.18303624835506638,0.21354228974757744,0.24261275272161742,0.24261275272161742
3,23-FDW-347,West_Brood,2023-08-18,2023-09-30,Sentinel 2,0.0,0.0,0.0,0.06690279417552143,0.10035419126328216,0.10035419126328216,0.13380558835104286,0.17561983471074377,0.17561983471074377,0.30106257378984647
4,23-FDW-356,East_Pond,2023-09-08,2023-09-30,Sentinel 2,0.0,0.0,0.0,0.0,0.5687978859545612,0.6806495038973557,0.7641808904917813,0.7095431202114044,0.7228223836194717,0.773637587461982
5,23-FDW-356,Middle_Pond,2023-09-08,2023-09-30,Sentinel 2,0.0,0.00031959092361776926,0.0,0.03434003110040553,0.5606839040156113,0.6425892612129159,0.6894939577806914,0.7512348690429004,0.7828498033356711,0.8134737933347562
6,23-FDW-360,B1,2023-09-08,2023-09-30,Sentinel 2,0.4500762757738301,0.05669012351754342,0.029624526352049596,0.027951380345455436,0.4074110526056786,0.47416465725111945,0.5459376999163428,0.4057871167757491,0.4497318045371782,
7,23-FDW-360,B2,2023-09-08,2023-09-30,Sentinel 2,0.5567397638399019,0.38636712160711556,0.3504063793896642,0.38636712160711556,0.27626130961508977,0.526683024076062,0.7544088330010735,0.33760159484741603,0.21173899708633648,
8,23-FDW-360,B3,2023-09-08,2023-09-30,Sentinel 2,0.9129098360655742,0.8643442622950824,0.8289959016393447,0.5674180327868854,0.803176229508197,0.8571721311475414,0.8702356557377053,0.8053278688524594,0.8165471311475414,
9,23-FDW-360,B4-7,2023-09-08,2023-09-30,Sentinel 2,0.9663797064509696,0.9684690542450172,0.9773466149964888,0.8730439456596184,0.68244514378354,0.8075545961316722,0.8896113466323353,0.9295430310281151,0.9054418407067368,
10,23-FDW-360,B5,2023-09-08,2023-09-30,Sentinel 2,0.9606198678149408,0.9609703585019026,0.9295513719206892,0.9160074103745245,0.9435459643500903,0.9327057881033448,0.9016623272581615,0.8505908271580216,0.761603745243341,
11,23-FDW-360,B8,2023-09-08,2023-09-30,Sentinel 2,0.960942760942761,0.9634809634809637,0.9623931623931624,0.9639989639989641,0.7320383320383319,0.5216006216006215,0.6790986790986789,0.7764827764827763,0.8640766640766641,
12,23-FDW-361,South_Tule,2023-08-18,2023-09-30,Sentinel 2,0.0,0.021982126950374995,0.2179894255912187,0.39626495407220114,0.4194563374615673,0.5895830616989092,0.6613052306926048,0.6144219993678344,0.6938330316178657,0.7480963190712913
